A;MES;CATEGOCUPACIONAL;ACCIMORTALES;ACCITRABAJO;ENFEROCUPACIONALES;TOTALNOTIFI
2021;ENERO;AGRICULTOR;0;0;0;0
2021;ENERO;CAPATAZ;0;3;0;3
2021;ENERO;EMPLEADO;2;346;3;351
2021;ENERO;FUNCIONARIO;0;1;0;1
2021;ENERO;OBRERO;7;67;0;74
2021;ENERO;OFICIAL;0;9;0;9
2021;ENERO;OPERARIO;3;236;0;239
2021;ENERO;PEON;1;20;0;21
2021;ENERO;OTROS;0;612;0;612
2021;ENERO;NO DETERMINADO;0;1068;0;1068
2021;FEBRERO;AGRICULTOR;1;0;0;1
2021;FEBRERO;CAPATAZ;2;1;0;3
2021;FEBRERO;EMPLEADO;2;309;93;404
2021;FEBRERO;FUNCIONARIO;0;4;0;4
2021;FEBRERO;OBRERO;8;37;0;45
2021;FEBRERO;OFICIAL;0;12;0;12
2021;FEBRERO;OPERARIO;6;175;0;181
2021;FEBRERO;PEON;1;10;1;12
2021;FEBRERO;OTROS;1;623;3;627
2021;FEBRERO;NO DETERMINADO;1;726;0;727
2021;MARZO;AGRICULTOR;0;0;0;0
2021;MARZO ;CAPATAZ;0;3;0;3
2021;MARZO;EMPLEADO;6;351;11;368
2021;MARZO;FUNCIONARIO;1;6;0;7
2021;MARZO;OBRERO;7;68;0;75
2021;MARZO;OFICIAL;0;6;0;6
2021;MARZO;OPERARIO;4;169;0;173
2021;MARZO;PEON;0;14;0;14
2021;MARZO;OTROS;6;732;2;740
2021;MARZO;NO DETERMINADO;0;1066;0;1066
2021;ABRIL ;AGRICULTOR;0;0;0;0
2021;ABRIL ;CAPATAZ;0;1;0;1
2021;ABRIL;EMPLEADO;5;265;25;295
2021;ABRIL;FUNCIONARIO;0;1;0;1
2021;ABRIL;OBRERO;2;76;0;78
2021;ABRIL;OFICIAL;0;2;0;2
2021;ABRIL;OPERARIO;0;150;0;150
2021;ABRIL;PEON;1;24;0;25
2021;ABRIL;OTROS;0;553;0;553
2021;ABRIL;NO DETERMINADO;0;1138;0;1138
2021;MAYO;AGRICULTOR;0;0;0;0
2021;MAYO;CAPATAZ;1;2;0;3
2021;MAYO;EMPLEADO;1;335;94;430
2021;MAYO;FUNCIONARIO;0;4;0;4
2021;MAYO;OBRERO;4;59;0;63
2021;MAYO;OFICIAL;0;8;0;8
2021;MAYO;OPERARIO;4;240;3;247
2021;MAYO;PEON;0;20;0;20
